id,job,status,slot,name,icon,level,description,effect_type,effect_value,grants_action
scale_mail,DRG,existing_current,Body,Scale Mail,ARM,19,Flexible armor for dives and repositioning.,stat,hp+20,
dragon_eye,DRG,existing_current,Relic,Dragon Eye,REL,12,Relic eye. Improves burst windows and interrupts.,upgrade,burst+,
wyvern_spear,DRG,existing_pool,Weapon,Wyvern Spear,ATK,20,Spear. Improves Dive windows.,upgrade,dive+,
sky_visor,DRG,existing_pool,Head,Sky Visor,AIR,16,Visor. Helps avoid marked zones.,passive,avoid+,
lancer_coat,DRG,existing_pool,Body,Lancer Coat,SPD,18,Coat. Favors speed over defense.,stat,speed+,
sky_fang,DRG,existing_pool,Relic,Sky Fang,JUMP,13,Fang. Improves Jump turns.,upgrade,jump+,
gale_lance,DRG,proposed,Weapon,Gale Lance,AIR,21,Grants Piercing Talon to action pool.,granted_action,piercing_talon,piercing_talon
visor_of_sight,DRG,proposed,Head,Visor of Sight,AIM,18,Side and behind bonuses stronger.,upgrade,positional+,
dragoon_harness,DRG,proposed,Body,Dragoon Harness,ARM,20,Jump reduces more incoming range damage.,upgrade,jump_guard,
wyrmheart_charm,DRG,proposed,Relic,Wyrmheart Charm,REL,18,Leg Sweep refunds TP on successful interrupt.,upgrade,sweep_refund,
